ID,DateTime,Symbol,Side,Quantity,Rate,source,trade_account_id,fill_counter,fill_type,fill_quantity,remaining_quantity,bid_timestamp,bid_symbol,bid_price,bid_size,bid_remaining_size
415019711,2025-04-22 22:53:49.278000,XRPUSD,Buy,2001.01481447,2.20704,market,other,4,partial_fill,124.40761446999988,0.0,2025-04-22 22:53:48.370419,XRPUSD,2.20639,648.1875,523.7798855300001
415019720,2025-04-22 22:53:55.845000,XRPUSD,Buy,1000.0,2.20718,market,other,1,partial_fill,634.5584,365.4416,2025-04-22 22:53:55.640936,XRPUSD,2.20604,634.5584,0.0
415019720,2025-04-22 22:53:55.845000,XRPUSD,Buy,1000.0,2.20718,market,other,2,partial_fill,339.8,25.641599999999983,2025-04-22 22:53:55.379332,XRPUSD,2.2065,339.8,0.0
415019720,2025-04-22 22:53:55.845000,XRPUSD,Buy,1000.0,2.20718,market,other,3,partial_fill,25.641599999999983,0.0,2025-04-22 22:53:55.267823,XRPUSD,2.2065,339.8,314.15840000000003
415019726,2025-04-22 22:54:02.225000,XRPUSD,Buy,20.358,2.20729,market,other,1,fill,20.358,0.0,2025-04-22 22:54:02.256823,XRPUSD,2.2063,339.7999999999999,319.4419999999999
415019740,2025-04-22 22:54:07.170000,XRPUSD,Buy,18.4655,2.20707,market,other,1,fill,18.4655,0.0,2025-04-22 22:54:06.991727,XRPUSD,2.20657,1346.5953,1328.1298
415019750,2025-04-22 22:54:11.370000,XRPUSD,Buy,200.0,2.20752,market,other,1,partial_fill,23.4719,176.5281,2025-04-22 22:54:11.396045,XRPUSD,2.20671,23.4719,0.0
415019750,2025-04-22 22:54:11.370000,XRPUSD,Buy,200.0,2.20752,market,other,2,partial_fill,176.5281,0.0,2025-04-22 22:54:11.280957,XRPUSD,2.20671,545.3754,368.8473
415019934,2025-04-22 22:55:17.152000,XRPUSD,Buy,89.775,2.20883,market,other,1,fill,89.775,0.0,2025-04-22 22:55:17.160402,XRPUSD,2.208,226.4,136.625
415020081,2025-04-22 22:55:50.007000,XRPUSD,Buy,200.0,2.20969,market,other,1,fill,200.0,0.0,2025-04-22 22:55:49.883990,XRPUSD,2.2089,226.3,26.30000000000001
415020272,2025-04-22 22:56:17.914000,XRPUSD,Buy,101.464665,2.20913,market,other,1,fill,101.464665,0.0,2025-04-22 22:56:17.782291,XRPUSD,2.20881,228.2911,126.826435
415020314,2025-04-22 22:56:22.454000,XRPUSD,Buy,71.761,2.21002,market,other,1,fill,71.761,0.0,2025-04-22 22:56:22.508824,XRPUSD,2.20925,705.1514,633.3904
415020337,2025-04-22 22:56:25.723000,XRPUSD,Buy,62.084,2.2098,market,other,1,fill,62.084,0.0,2025-04-22 22:56:25.751159,XRPUSD,2.20872,354.412,292.328
415020400,2025-04-22 22:56:41.330000,XRPUSD,Buy,401.89054726,2.21083,market,other,1,partial_fill,113.0,288.89054726,2025-04-22 22:56:41.424864,XRPUSD,2.2101,113.0,0.0
415020400,2025-04-22 22:56:41.330000,XRPUSD,Buy,401.89054726,2.21083,market,other,2,partial_fill,288.89054726,0.0,2025-04-22 22:56:41.149593,XRPUSD,2.20991,2448.4429,2159.55235274
415020482,2025-04-22 22:57:00.801000,XRPUSD,Buy,200.0,2.21001,market,other,1,fill,200.0,0.0,2025-04-22 22:57:00.760010,XRPUSD,2.20901,522.9647,322.9647
415020483,2025-04-22 22:57:00.801000,XRPUSD,Buy,66.713654,2.21002,market,other,1,fill,66.713654,0.0,2025-04-22 22:57:00.760010,XRPUSD,2.20901,522.9647,256.251046
415020907,2025-04-22 22:58:21.272000,XRPUSD,Buy,1000.0,2.20927,market,other,1,fill,1000.0,0.0,2025-04-22 22:58:21.142693,XRPUSD,2.20822,1919.8997,919.8996999999999
415021015,2025-04-22 22:58:54.988000,XRPUSD,Buy,25.0,2.2098,market,other,1,fill,25.0,0.0,2025-04-22 22:58:54.857349,XRPUSD,2.2088,810.4189,785.4189
415021163,2025-04-22 22:59:43.821000,XRPUSD,Buy,200.0,2.20854,market,other,1,fill,200.0,0.0,2025-04-22 22:59:43.788391,XRPUSD,2.20754,1207.8616,1007.8616
415021164,2025-04-22 22:59:43.821000,XRPUSD,Buy,244.0,2.20855,market,other,1,fill,244.0,0.0,2025-04-22 22:59:43.788391,XRPUSD,2.20754,1207.8616,763.8616
415021183,2025-04-22 22:59:55.726000,XRPUSD,Buy,607.5,2.2089,market,other,1,fill,607.5,0.0,2025-04-22 22:59:55.774755,XRPUSD,2.20773,724.4247,116.92470000000003
415021184,2025-04-22 22:59:55.726000,XRPUSD,Buy,2149.2,2.20891,market,other,1,partial_fill,116.92470000000003,2032.2752999999998,2025-04-22 22:59:55.774755,XRPUSD,2.20773,724.4247,0.0
415021184,2025-04-22 22:59:55.726000,XRPUSD,Buy,2149.2,2.20891,market,other,2,partial_fill,710.8369,1321.4383999999998,2025-04-22 22:59:55.503932,XRPUSD,2.20773,710.8369,0.0
415021184,2025-04-22 22:59:55.726000,XRPUSD,Buy,2149.2,2.20891,market,other,3,partial_fill,710.8369,610.6014999999998,2025-04-22 22:59:55.171676,XRPUSD,2.20773,710.8369,0.0
415021184,2025-04-22 22:59:55.726000,XRPUSD,Buy,2149.2,2.20891,market,other,4,partial_fill,610.6014999999998,0.0,2025-04-22 22:59:54.897157,XRPUSD,2.20773,710.8369,100.23540000000025
415021185,2025-04-22 22:59:55.726000,XRPUSD,Buy,0.3,2.20891,market,other,1,fill,0.3,0.0,2025-04-22 22:59:54.897157,XRPUSD,2.20773,710.8369,99.93540000000026
415021204,2025-04-22 23:00:00.225000,XRPUSD,Buy,1644.39515,2.20887,market,other,1,partial_fill,113.1,1531.2951500000001,2025-04-22 23:00:00.248121,XRPUSD,2.2079,113.1,0.0
415021204,2025-04-22 23:00:00.225000,XRPUSD,Buy,1644.39515,2.20887,market,other,2,partial_fill,113.1,1418.1951500000002,2025-04-22 22:59:59.858967,XRPUSD,2.2079,113.1,0.0
415021204,2025-04-22 23:00:00.225000,XRPUSD,Buy,1644.39515,2.20887,market,other,3,partial_fill,1223.7838,194.4113500000003,2025-04-22 22:59:59.602427,XRPUSD,2.20782,1223.7838,0.0
415021204,2025-04-22 23:00:00.225000,XRPUSD,Buy,1644.39515,2.20887,market,other,4,partial_fill,194.4113500000003,0.0,2025-04-22 22:59:59.498135,XRPUSD,2.20782,1223.7838,1029.3724499999996
415021206,2025-04-22 23:00:00.331000,XRPUSD,Buy,8.48e-06,2.20887,market,other,1,fill,8.48e-06,0.0,2025-04-22 22:59:59.498135,XRPUSD,2.20782,1223.7838,1029.3724415199997
